normalized_name,metabolite_name,hmdb_id,smiles,average_molecular_weight,monoisotopic_molecular_weight,srm1950_instrument_type,srm1950_classification,srm1950_reference,source_srm1950_db,nist_srm1950,serum_evidence,hmdb_biofluid,endogenous_hint
norursodeoxycholic acid,Norursodeoxycholic acid,HMDB0245660,CC(CC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,378.5530,378.277009700,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
norcholic acid,Norcholic acid,HMDB0255727,CC(CC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,394.5520,394.271924300,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
lithocholic acid-24-glucuronide,Lithocholic acid-24-glucuronide,HMDB0254126,CC(CCC(O)=O)C1CCC2C3CCC4CC(CCC4(C)C3CCC12C)OC1OC(C(O)C(O)C1O)C(O)=O,552.7050,552.329833100,LC-MS/MS,Steroidal glycosides,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
chenodeoxycholic acid-3-glucuronide,Chenodeoxycholic acid-3-glucuronide,,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O)[C@H](C)CCC(O)=O,568.6961,568.324747800,LC-MS/MS,Steroids and steroid derivatives,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
ursodeoxycholic acid-3-glucuronide,Ursodeoxycholic acid-3-glucuronide,HMDB0341534,NULL,568.7040,568.324747700,LC-MS/MS,0,Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
lithocholic acid-3-sulfate,Lithocholic acid-3-sulfate,HMDB0000907,[H][C@@](C)(CCC([O-])=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@]([H])(CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS([O-])(=O)=O,454.6200,454.240007300,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
deoxycholic acid-3-sulfate,Deoxycholic acid-3-sulfate,HMDB0000659,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@H](C[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](CC[C@]12C)OS(O)(=O)=O)OS(O)(=O)=O,552.6980,552.206288900,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
chenodeoxycholic acid-3-sulfate,Chenodeoxycholic acid-3-sulfate,HMDB0002586,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@@H](CC[C@]12C)OS(O)(=O)=O,472.6350,472.249474300,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycolithocholic acid-3-sulfate,GlycoLithocholic acid-3-sulfate,HMDB0002639,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCC(O)=O,513.6900,513.276023900,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
glycodeoxycholic acid-3-sulfate,Glycodeoxycholic acid-3-sulfate,HMDB0341325,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCC(O)=O,529.6900,529.270938500,LC-MS/MS,"Bile acids, alcohols and derivatives",Internal Work,TRUE,TRUE,TRUE,TRUE,TRUE
