normalized_name,ghosh_chemical_name,ghosh_chem_id,ghosh_super_pathway,ghosh_sub_pathway,ghosh_nr_cohorts_present,ghosh_max_missingness,ghosh_percent_missing_MDCS,ghosh_percent_missing_PIVUS,ghosh_percent_missing_POEM,ghosh_percent_missing_SCAPIS_M,ghosh_percent_missing_SCAPIS_U,ghosh_all5_cohorts,ghosh_core_50pct,source_ghosh_2024
alpha-cmbhc glucuronide,alpha-CMBHC glucuronide,100005977,Cofactors and Vitamins,Tocopherol Metabolism,2,44.50600185,44.50600185,NA,NA,NA,25.03008424,FALSE,FALSE,TRUE
4-hydroxycinnamate sulfate,4-hydroxycinnamate sulfate,100006095,Amino Acid,Tyrosine Metabolism,1,94.09048938,94.09048938,NA,NA,NA,NA,FALSE,FALSE,TRUE
maltol sulfate,maltol sulfate,100006106,Xenobiotics,Food Component/Plant,2,100.0,77.65466297,NA,NA,NA,100,FALSE,FALSE,TRUE
n-acetylhistamine,N-acetylhistamine,100006123,Amino Acid,Histidine Metabolism,1,90.21237304,90.21237304,NA,NA,NA,NA,FALSE,FALSE,TRUE
vanillic alcohol sulfate,vanillic alcohol sulfate,100006125,Amino Acid,Tyrosine Metabolism,4,81.5920398,68.51338873,81.5920398,80.63872255,NA,66.12515042,FALSE,FALSE,TRUE
chlorthalidone,chlorthalidone,100006181,Xenobiotics,Drug - Cardiovascular,2,100.0,99.72299169,NA,NA,NA,100,FALSE,FALSE,TRUE
syringol sulfate,syringol sulfate,100006256,Xenobiotics,Food Component/Plant,2,100.0,79.22437673,NA,NA,NA,100,FALSE,FALSE,TRUE
dopamine 4-sulfate,dopamine 4-sulfate,100006360,Amino Acid,Tyrosine Metabolism,3,79.60199005,44.87534626,79.60199005,50.69860279,NA,NA,FALSE,FALSE,TRUE
n-carbamoylalanine,N-carbamoylalanine,100006369,Amino Acid,Alanine and Aspartate Metabolism,2,5.294825511,4.524469067,NA,NA,NA,5.294825511,FALSE,FALSE,TRUE
3-methoxycatechol sulfate (2),3-methoxycatechol sulfate (2),100006376,Xenobiotics,Benzoate Metabolism,4,28.94211577,14.68144044,16.25207297,28.94211577,NA,18.61211392,FALSE,FALSE,TRUE
4-hydroxyphenylacetoylcarnitine,4-hydroxyphenylacetoylcarnitine,100006619,Amino Acid,Tyrosine Metabolism,4,23.2172471,10.52631579,23.2172471,19.56087824,NA,12.73565985,FALSE,FALSE,TRUE
phenol glucuronide,phenol glucuronide,100006679,Amino Acid,Tyrosine Metabolism,4,73.65269461,52.53924284,51.24378109,73.65269461,NA,34.03529884,FALSE,FALSE,TRUE
linoleoyl ethanolamide,linoleoyl ethanolamide,100006726,Lipid,Endocannabinoid,4,40.90489381,40.90489381,1.326699834,0.399201597,NA,11.09105495,FALSE,FALSE,TRUE
rocuronium,rocuronium,100006745,Xenobiotics,Drug - Neurological,1,99.9076639,99.9076639,NA,NA,NA,NA,FALSE,FALSE,TRUE
2-methylcitrate/homocitrate,2-methylcitrate/homocitrate,100008929,Energy,TCA Cycle,2,100.0,37.67313019,NA,NA,NA,100,FALSE,FALSE,TRUE
2-hydroxylaurate,2-hydroxylaurate,100008934,Lipid,Fatty Acid	 Monohydroxy,2,12.46537396,12.46537396,NA,NA,NA,3.369434416,FALSE,FALSE,TRUE
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1],palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,100009052,Lipid,Diacylglycerol,1,13.29639889,13.29639889,NA,NA,NA,NA,FALSE,FALSE,TRUE
1-oleoyl-2-docosahexaenoyl-gpe (18:1/22:6),1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,100009220,Lipid,Phosphatidylethanolamine (PE),4,24.65373961,24.65373961,5.970149254,2.395209581,NA,13.17689531,FALSE,FALSE,TRUE
isocitric lactone,isocitric lactone,100009239,Energy,TCA Cycle,1,9.418282548,9.418282548,NA,NA,NA,NA,FALSE,FALSE,TRUE
glycocholate glucuronide (1),glycocholate glucuronide (1),100009259,Lipid,Primary Bile Acid Metabolism,1,78.76269621,78.76269621,NA,NA,NA,NA,FALSE,FALSE,TRUE
methylsuccinoylcarnitine,methylsuccinoylcarnitine,100009275,Amino Acid,Leucine	 Isoleucine and Valine Metabolism,4,4.332129964,0.646352724,,,NA,4.332129964,FALSE,FALSE,TRUE
14-hdohe/17-hdohe,14-HDoHE/17-HDoHE,100009278,Lipid,Docosanoid,1,5.078485688,5.078485688,NA,NA,NA,NA,FALSE,FALSE,TRUE
catechol glucuronide,catechol glucuronide,100009326,Amino Acid,Tyrosine Metabolism,1,63.34256694,63.34256694,NA,NA,NA,NA,FALSE,FALSE,TRUE
furaneol sulfate,furaneol sulfate,100009328,Xenobiotics,Food Component/Plant,1,68.51338873,68.51338873,NA,NA,NA,NA,FALSE,FALSE,TRUE
